x,y,z
-268.294006,211.724304,5.614804
-266.552307,210.602798,5.620074
-264.843994,209.502502,5.625286
-263.170288,208.424103,5.630420
-261.535400,207.370300,5.635467
-259.943115,206.343597,5.640410
-258.396210,205.345703,5.645232
-256.899109,204.379501,5.649924
-255.453293,203.445694,5.654469
-254.063293,202.547607,5.658851
-252.732895,201.687195,5.663055
-251.460602,200.863800,5.667069
-250.256195,200.083603,5.670875
-248.765900,199.138107,5.678647
-247.101501,198.119995,5.692011
-245.278107,197.037704,5.710613
-245.273895,197.035202,5.710665
-243.831100,196.197601,5.727616
-242.316193,195.332504,5.747101
-240.735397,194.442902,5.768973
-239.095093,193.531906,5.793093
-237.398697,192.600693,5.819314
-235.652893,191.652695,5.847493
-233.862000,190.689499,5.877487
-232.032806,189.714401,5.909150
-230.168198,188.728302,5.942335
-228.275894,187.735107,5.976909
-226.357193,186.734695,6.012719
-224.421097,185.731598,6.049617
-222.468002,184.725403,6.087470
-220.507004,183.720596,6.126129
-218.541794,182.718399,6.165447
-216.576706,181.720703,6.205286
-214.616699,180.729797,6.245498
-212.666702,179.747696,6.285941
-210.731903,178.776596,6.326468
-208.814499,177.817200,6.366940
-206.924301,176.874207,6.407210
-205.061798,175.947495,6.447133
-203.233795,175.040100,6.486567
-201.445999,174.154297,6.525367
-199.701996,173.291901,6.563387
-198.004303,172.453598,6.600488
-196.360397,171.642807,6.636524
-194.774002,170.860992,6.671348
-193.253204,170.111893,6.704821
-191.795700,169.393997,6.736796
-190.412704,168.712601,6.766310
-189.104004,168.067200,6.791751
-187.336304,167.272400,6.835032
-185.728897,166.680801,6.876336
-184.134094,166.213196,6.919670
-182.553894,165.863998,6.965533
-180.987305,165.627502,7.014407
-179.434906,165.499207,7.066771
-177.898102,165.475403,7.123085
-176.378204,165.552704,7.183798
-174.875000,165.728394,7.249350
-173.394501,165.999298,7.320152
-171.936096,166.363495,7.396603
-170.503296,166.818604,7.479066
-169.101593,167.361801,7.567889
-167.734406,167.990204,7.663357
-166.407196,168.700607,7.765730
-165.121796,169.491104,7.875185
-163.886398,170.356400,7.991852
-162.703094,171.294403,8.115773
-161.576508,172.301697,8.246926
-160.515198,173.369995,8.384836
-159.516602,174.502197,8.526097
-158.591293,175.686905,8.669749
-157.740204,176.923004,8.815584
-156.999893,178.148102,8.956784
-156.333496,179.413300,9.099607
-155.745605,180.711304,9.243870
-155.235794,182.045898,9.389391
-154.808701,183.409302,9.535991
-154.465897,184.801407,9.683491
-154.210007,186.219696,9.831702
-154.043594,187.664597,9.980452
-153.969696,189.132202,10.129556
-153.991302,190.619797,10.278826
-154.112503,192.138000,10.428085
-154.337296,193.678497,10.577166
-154.701996,195.713501,10.724135
-155.087204,198.011597,10.891584
-155.463898,200.261795,11.056345
-155.832901,202.469101,11.218595
-156.194199,204.634399,11.378485
-156.548599,206.761597,11.536215
-156.896393,208.853302,11.691924
-157.238495,210.913406,11.845814
-157.574295,212.939896,11.998044
-157.905304,214.940002,12.148824
-158.231293,216.914200,12.298374
-158.552704,218.863907,12.447484
-158.870499,220.795105,12.596334
-159.184494,222.707108,12.745043
-159.495300,224.602203,12.893733
-159.803497,226.485703,13.042553
-160.109406,228.357895,13.191613
-160.413803,230.224106,13.341043
-160.716599,232.083893,13.490973
-161.018204,233.939896,13.641512
-161.319595,235.797501,13.792792
-161.620499,237.655396,13.944942
-161.921707,239.517899,14.098062
-162.223801,241.388901,14.252282
-162.527100,243.270599,14.407722
-162.831802,245.163406,14.564482
-163.138397,247.070297,14.722691
-163.447601,248.996506,14.882441
-163.759705,250.942795,15.043851
-164.074997,252.910706,15.207011
-164.394104,254.905197,15.372041
-164.717102,256.925995,15.539011
-165.044693,258.976990,15.708040
-165.377396,261.061890,15.879210
-165.715195,263.180115,16.052610
-165.963303,264.360413,16.199890
-166.293396,265.336700,16.308069
-166.694794,266.167603,16.388809
-167.162903,266.887085,16.453699
-167.703598,267.525208,16.514318
-168.252899,268.029999,16.570530
-168.953598,268.513092,16.625059
-169.816101,268.928894,16.681059
-170.954498,269.256714,16.764229
-172.463699,269.417114,16.915539
-172.860001,269.424194,16.943218
-175.509003,269.456604,17.137329
-178.012405,269.513702,17.337999
-180.385101,269.599304,17.540449
-182.654404,269.717499,17.740358
-184.825302,269.871094,17.934340
-186.930206,270.064789,18.119909
-188.977402,270.301300,18.295408
-190.982895,270.583405,18.459808
-192.968002,270.914490,18.612499
-194.939407,271.295288,18.753180
-196.902802,271.724792,18.886839
-198.896606,272.208893,19.022949
-200.920105,272.744598,19.162079
-202.994598,273.333893,19.304390
-205.327301,274.041687,19.470249
-207.470093,274.747498,19.630360
-209.469406,275.466492,19.784908
-211.415802,276.226105,19.934629
-213.369797,277.040497,20.080250
-215.412292,277.929688,20.221819
-217.668304,278.934601,20.357908
-219.599106,279.846588,20.451380
-221.506607,280.835602,20.546438
-223.393295,281.894012,20.643169
-225.256500,283.011993,20.741190
-227.089798,284.178101,20.840099
-228.899307,285.389008,20.939560
-230.677597,286.633301,21.039160
-232.427200,287.906586,21.138599
-234.141296,289.198303,21.237469
-235.817795,290.501190,21.335459
-237.451706,291.806213,21.432217
-239.042404,293.107788,21.527416
