type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	31.344725505	121.218930171	2.9						
T	31.344757906	121.218930186	2.9						
T	31.344786278	121.218932335	2.9						
T	31.344822419	121.218936132	2.9						
T	31.344846874	121.218940273	2.9						
T	31.344898977	121.218951413	2.9						
T	31.344955976	121.218970194	3.0						
T	31.345003499	121.218990404	3.0						
T	31.345042219	121.219011404	3.0						
T	31.345086332	121.219041302	3.0						
T	31.345129230	121.219075017	3.0						
T	31.345167735	121.219111316	3.0						
T	31.345199136	121.219143955	3.0						
T	31.345235176	121.219187334	3.1						
T	31.345271029	121.219238511	3.3						
T	31.345301583	121.219290947	3.4						
T	31.345326030	121.219341874	3.5						
T	31.345353127	121.219409152	3.6						
T	31.345370691	121.219470762	3.7						
T	31.345386149	121.219535333	3.7						
T	31.345398483	121.219597223	3.8						
T	31.345407514	121.219656266	3.9						
T	31.345413766	121.219696662	4.0						
T	31.345416593	121.219729578	4.0						
T	31.345418568	121.219790543	3.9						
T	31.345419141	121.219849468	3.8						
T	31.345416941	121.219917262	3.6						
T	31.345412432	121.219977598	3.5						
T	31.345405580	121.220030878	3.3						
T	31.345394489	121.220087526	3.1						
T	31.345381470	121.220139601	2.9						
T	31.345369334	121.220186160	2.7						
T	31.345355852	121.220232095	2.4						
T	31.345340620	121.220278078	2.2						
T	31.345324033	121.220321891	1.8						
T	31.345304772	121.220368851	1.4						
T	31.345291447	121.220398286	1.2						
T	31.345274191	121.220433978	0.9						
T	31.345255584	121.220468373	0.7						
T	31.345228502	121.220516831	0.4						
T	31.345195709	121.220568231	0.3						
T	31.345164310	121.220611174	0.5						
T	31.345132979	121.220653015	0.7						
T	31.345094023	121.220696693	1.0						
T	31.345052885	121.220739949	1.3						
T	31.345004059	121.220784597	1.8						
T	31.344954557	121.220827311	2.0						
T	31.344898442	121.220871379	2.0						
T	31.344817663	121.220935604	2.1						
T	31.344699865	121.221029913	2.7						
T	31.344585902	121.221123886	3.5						
T	31.344399121	121.221273120	4.6						
T	31.344251099	121.221390935	5.0						
T	31.344115408	121.221492999	4.6						
T	31.344048213	121.221541644	4.2						
T	31.343900438	121.221651506	3.1						
T	31.343709554	121.221793564	2.5						
T	31.343472666	121.221971978	1.9						
T	31.343262026	121.222135053	2.3						
T	31.342748977	121.222537242	4.0						
T	31.342305019	121.222875592	3.6						
T	31.342073953	121.223051009	3.0						
T	31.341940603	121.223152475	2.6						
T	31.341683001	121.223346612	0.2						
T	31.341549228	121.223451739	0.4						
T	31.341437922	121.223538400	0.7						
T	31.341208316	121.223725535	3.1						
T	31.341020189	121.223875415	4.9						
T	31.340878729	121.223983578	4.7						
T	31.340618422	121.224181407	3.3						
T	31.340405704	121.224349156	4.2						
T	31.340254334	121.224468628	5.0						
T	31.340099970	121.224586032	4.5						
T	31.339894222	121.224741571	3.7						
T	31.339678549	121.224908209	3.4						
T	31.339533011	121.225015293	2.7						
T	31.339374995	121.225133300	1.6						
T	31.339160012	121.225295636	1.1						
T	31.339036026	121.225392934	1.9						
T	31.338926931	121.225477708	2.6						
T	31.338661245	121.225689175	3.4						
T	31.338381117	121.225902034	3.0						
T	31.338065617	121.226148918	3.0						
T	31.337775116	121.226372854	3.0						
T	31.337478919	121.226593333	2.1						
T	31.337283828	121.226750365	3.6						
T	31.337017759	121.226962173	4.8						
T	31.336803759	121.227126807	4.0						
T	31.336473769	121.227371696	2.3						
T	31.336211742	121.227570380	1.9						
T	31.336070016	121.227682220	2.4						
T	31.336016891	121.227724262	2.7						
T	31.335986186	121.227748458	2.8						
T	31.335965274	121.227765157	2.9						
T	31.335947263	121.227779824	3.0						
T	31.335935128	121.227789578	3.0						
T	31.335926271	121.227796392	3.1						
T	31.335919716	121.227800885	3.1						
T	31.335913016	121.227804311	3.1						
T	31.335907237	121.227805780	3.1						
T	31.335900865	121.227805172	3.1						
T	31.335895749	121.227803713	3.1						
T	31.335891424	121.227801195	3.1						
T	31.335887674	121.227798097	3.1						
T	31.335883965	121.227792987	3.1						
T	31.335880743	121.227787568	3.0						
T	31.335878632	121.227781616	3.0						
T	31.335877633	121.227775130	3.0						
T	31.335877217	121.227769046	3.0						
T	31.335877328	121.227761720	2.9						
T	31.335878531	121.227754111	2.9						
T	31.335880121	121.227747599	2.9						
T	31.335882678	121.227739545	2.8						
T	31.335886761	121.227730212	2.8						
T	31.335892965	121.227717692	2.7						
T	31.335904763	121.227696537	2.6						
T	31.335915254	121.227675611	2.5						
T	31.335926029	121.227653715	2.4						
T	31.335938200	121.227629188	2.3						
T	31.335957434	121.227589603	2.0						
T	31.335978193	121.227547758	1.7						
T	31.336001472	121.227499202	1.4						
T	31.336029519	121.227442211	1.1						
T	31.336058382	121.227382970	0.8						
T	31.336087498	121.227323169	0.5						
T	31.336122114	121.227254448	0.2						
T	31.336157213	121.227185338	0.3						
T	31.336178988	121.227150031	0.5						
T	31.336198461	121.227122918	0.7						
T	31.336216692	121.227100547	0.8						
T	31.336236956	121.227079610	1.0						
T	31.336258294	121.227060339	1.1						
T	31.336283085	121.227038750	1.3						
T	31.336356377	121.226979161	1.8						
T	31.336544467	121.226824981	3.0						
T	31.336655917	121.226730913	3.7						
T	31.336766054	121.226638513	4.0						
T	31.336965440	121.226466337	3.3						
T	31.337104264	121.226345668	3.2						
T	31.337280960	121.226195033	3.6						
T	31.337436806	121.226066497	4.2						
T	31.337505400	121.226010474	4.4						
T	31.337565701	121.225960775	4.4						
T	31.337680530	121.225861591	4.3						
T	31.337812684	121.225745224	3.9						
T	31.337975334	121.225597965	3.3						
T	31.338092486	121.225495042	3.0						
T	31.338149262	121.225445370	3.0						
