distance_integrated_m,speed_reconstructed_kmh,lap_time_s,distance_official_length_scaled_m,drs_on,kers_active,kers_bar_fraction_visual
4712,120.239668046358,81.0675041494205,4777.32785718572,0,0,0
4713,117.818978741498,81.0977627657313,4778.34172133198,0,0,0
4714,115.434318608204,81.12858116274,4779.35558547825,0,0,0
4715,113.235365728623,81.1599947753054,4780.36944962451,0,0,0
4716,110.982226408767,81.1921824798748,4781.38331377077,0,0,0
4717,108.931566681945,81.2249738886343,4782.39717791703,0,0,0
4718,107.10929848131,81.2583140303738,4783.41104206329,0,0,0
4719,105.416142261906,81.2921771547619,4784.42490620956,0,0,0
4720,103.747131966883,81.3265688327948,4785.43877035582,0,0,0
4721,102.292514538863,81.3614796510673,4786.45263450208,0,0,0
4722,100.814682026548,81.3969476313628,4787.46649864834,0,0,0
4723,99.3146488939924,81.4329484265442,4788.4803627946,0,0,0
4724,97.8406919551958,81.4694827011201,4789.49422694086,0,0,0
4725,96.3573079710169,81.5065673007246,4790.50809108713,0,0,0
4726,94.880684926328,81.5442242599657,4791.52195523339,0,0,0
4727,93.4263631350293,81.5824636497326,4792.53581937965,0,0,0
4728,91.9438899476861,81.6213028400597,4793.54968352591,0,0,0
4729,90.3884507743397,81.6607887306415,4794.56354767217,0,0,0
4730,88.7810354729766,81.7009741131756,4795.57741181844,0,0,0
4731,87.5739494863032,81.7418025256848,4796.5912759647,0,0,0
4732,86.74790293779,81.7831048531105,4797.60514011096,0,0,0
4733,85.9139299418625,81.8248035029069,4798.61900425722,0,0,0
4734,85.0718072183118,81.8669096390844,4799.63286840348,0,0,0
4735,84.2213030213287,81.9094348489336,4800.64673254974,0,0,0
4736,83.362176734451,81.9523911632775,4801.66059669601,0,0,0
4737,82.4941784420303,81.9957910778985,4802.67446084227,0,0,0
4738,81.6170484756114,82.0396475762194,4803.68832498853,0,0,0
4739,80.7298255597031,82.0840087220149,4804.70218913479,0,0,0
4740,79.8326378768863,82.1288681061557,4805.71605328105,0,0,0
4741,78.9253550126917,82.1742322493654,4806.72991742732,0,0,0
4742,78.0076663461552,82.2201166826923,4807.74378157358,0,0,0
4743,77.0792483808301,82.2665375809585,4808.75764571984,0,0,0
4744,76.1397640706813,82.3135117964659,4809.7715098661,0,0,0
4745,75.1887429812841,82.3610628509358,4810.78537401236,0,0,0
4746,74.1802227011498,82.409291091954,4811.79923815862,0,0,0
4747,72.8675406936816,82.458248643544,4812.81310230489,0,0,0
4748,71.3703486382682,82.508155045391,4813.82696645115,0,0,0
4749,70.2305662181305,82.5589716890935,4814.84083059741,0,0,0
4750,69.1970721014498,82.6106463949275,4815.85469474367,0,0,0
4751,68.1483574046926,82.6630821297654,4816.86855888993,0,0,0
4752,67.0842429525231,82.7162878523739,4817.8824230362,0,0,0
4753,66.5029967996993,82.7702003200301,4818.89628718246,0,0,0
4754,65.8387942570137,82.8245803828658,4819.91015132872,0,0,0
4755,64.8177603527621,82.8796119823619,4820.92401547498,0,0,0
4756,63.9054695450102,82.9356248727984,4821.93787962124,0,0,0
4757,63.5524458497056,82.9921086640471,4822.9517437675,0,0,0
4758,63.1974157178219,83.0489134851485,4823.96560791377,0,0,0
4759,63.3625510722348,83.1058785750564,4824.97947206003,0,0,0
4760,64.1695504830538,83.1623685338138,4825.99333620629,0,0,0
4761,64.9279292211721,83.2180941711554,4827.00720035255,0,0,0
4762,65.527844227829,83.2732844227829,4828.02106449881,0,0,0
4763,66.14942808735,83.3279714043675,4829.03492864508,0,0,0
4764,67.2286015625001,83.381930078125,4830.04879279134,0,0,0
4765,68.2917944852934,83.4350897242647,4831.0626569376,0,0,0
4766,69.3379601293098,83.4873980064655,4832.07652108386,0,0,0
4767,70.184629807692,83.5389629807692,4833.09038523012,0,0,0
4768,70.6957650495748,83.5900765049575,4834.10424937638,0,0,0
4769,71.6083523199436,83.6407784106648,4835.11811352265,0,0,0
4770,73.0992239441402,83.6904741314714,4836.13197766891,0,0,0
4771,74.3752960349449,83.7392648017473,4837.14584181517,0,0,0
4772,75.3372609707435,83.7873630485372,4838.15970596143,0,0,0
4773,76.4586789118992,83.834847156476,4839.17357010769,0,0,0
4774,77.8314162946417,83.8815472098214,4840.18743425396,0,0,0
4775,79.2058170540193,83.9273605684673,4841.20129840022,0,0,0
4776,80.5572158106428,83.9724071936881,4842.21516254648,0,0,0
4777,81.9673801797678,84.0167108622791,4843.22902669274,0,0,0
4778,83.5885651913869,84.0602141297847,4844.242890839,0,0,0
4779,85.2939442488254,84.1028486062206,4845.25675498526,0,0,0
4780,86.7261320727473,84.1447044024249,4846.27061913153,0,0,0
4781,87.9626769646913,84.1859225654897,4847.28448327779,0,0,0
4782,89.3118870718677,84.2265539163391,4848.29834742405,0,0,0
4783,90.8411043046334,84.2665276076158,4849.31221157031,0,0,0
4784,92.4126252711479,84.3058156317787,4850.32607571657,0,0,0
4785,93.9578256929623,84.3444456423241,4851.33993986284,0,0,0
4786,95.4780298742128,84.3824507468553,4852.3538040091,0,0,0
4787,97.0708352009263,84.4198518933539,4853.36766815536,0,0,0
4788,98.8061117424231,84.4566222348485,4854.38153230162,0,0,0
4789,100.611931311881,84.4927386262376,4855.39539644788,0,0,0
4790,102.309767023346,84.5282441755837,4856.40926059415,0,0,0
4791,103.70885105364,84.563221276341,4857.42312474041,0,0,0
4792,105.088161398468,84.5977040349617,4858.43698888667,0,0,0
4793,106.44834009434,84.6317085023585,4859.45085303293,0,0,0
4794,107.791859200744,84.6652964800186,4860.46471717919,0,0,0
4795,109.119451007326,84.6984862751832,4861.47858132545,0,0,0
4796,110.431805505416,84.7312951376354,4862.49244547172,0,0,0
4797,111.729573398577,84.7637393349644,4863.50630961798,0,0,0
4798,113.010712188612,84.7957678047153,4864.52017376424,0,0,0
4799,114.410561650592,84.8274013700132,4865.5340379105,0,0,0
4800,115.907802262932,84.8586560452586,4866.54790205676,0,0,0
4801,117.451737817797,84.8895347563559,4867.56176620302,0,0,0
4802,118.97716154661,84.9200432309322,4868.57563034929,0,0,0
4803,120.4775421875,84.95005084375,4869.58949449555,0,0,0
4804,121.961516905738,84.9797303381148,4870.60335864181,0,0,0
4805,123.344181194512,85.0091045298628,4871.61722278807,0,0,0
4806,124.506408797417,85.0381602199354,4872.63108693433,0,0,0
4807,125.393155251597,85.0669385083866,4873.6449510806,0,0,0
4808,126.251448081487,85.0955482693829,4874.65881522686,0,0,0
4809,127.174258300781,85.1239851660156,4875.67267937312,0,0,0
4810,128.580508300781,85.1521101660156,4876.68654351938,0,0,0
4811,129.971577403845,85.1799315480769,4877.70040766564,0,0,0
4812,131.350795928029,85.2075159185606,4878.7142718119,0,0,0
4813,132.714432291666,85.2347886458333,4879.72813595817,0,0,0
4814,134.061978078357,85.2617395615672,4880.74200010443,0,0,0
4815,135.399301930147,85.2884860386029,4881.75586425069,0,0,0
4816,136.722831341912,85.3149566268383,4882.76972839695,0,0,0
4817,138.235644536903,85.3410940756151,4883.78359254321,0,0,0
4818,139.791792852063,85.3670298808677,4884.79745668948,0,0,0
4819,141.328065967283,85.3926344327881,4885.81132083574,0,0,0
4820,142.566341249854,85.4179609398701,4886.825184982,0,0,0
4821,143.628906691724,85.4431406409021,4887.83904912826,0,0,0
4822,144.322815712542,85.4681213656515,4888.85291327452,0,0,0
4823,145.014046400791,85.4930056704285,4889.86677742079,0,0,0
4824,145.702646247769,85.5177952649197,4890.88064156705,0,0,0
4825,146.386588020965,85.5424171687548,4891.89450571331,0,0,0
4826,147.068594809721,85.56696941315,4892.90836985957,0,0,0
4827,147.746816362095,85.5913853890354,4893.92223400583,0,0,0
4828,148.851002147946,85.6156289270746,4894.93609815209,0,0,0
4829,150.208923354987,85.6397697485331,4895.94996229836,0,0,0
4830,151.547271315029,85.6635626011561,4896.96382644462,0,0,0
4831,152.879369863711,85.6872443531326,4897.97769059088,0,0,0
4832,154.197514696908,85.7106780390562,4898.99155473714,0,0,0
4833,155.504607508019,85.733915244587,4900.0054188834,0,0,0
4834,156.803725390939,85.7570106736167,4901.01928302967,1,0,0
4835,158.286779473685,85.7798016921053,4902.03314717593,1,0,0
4836,159.783672125842,85.8025058078716,4903.04701132219,1,0,0
4837,161.08869542983,85.82487763594,4904.06087546845,1,0,0
4838,162.333159892639,85.8471631978528,4905.07473961471,1,0,0
4839,163.437454371167,85.8692490874233,4906.08860376097,1,0,0
4840,164.535182196971,85.8912036439394,4907.10246790724,1,0,0
4841,165.62609128788,85.9130218257576,4908.1163320535,1,0,0
4842,166.567410371704,85.9346852592926,4909.13019619976,1,0,0
4843,167.430719724222,85.9562679931056,4910.14406034602,1,0,0
4844,168.287434976248,85.9776858744062,4911.15792449228,1,0,0
4845,169.14254186461,85.9990635466152,4912.17178863854,1,0,0
4846,169.99014147059,86.0202535367647,4913.18565278481,1,0,0
4847,170.83685343823,86.0414213359558,4914.19951693107,1,0,0
4848,171.676014277391,86.0624003569348,4915.21338107733,1,0,0
4849,172.514111143189,86.0833527785797,4916.22724522359,1,0,0
4850,173.34551991917,86.1041379979793,4917.24110936985,1,0,0
4851,174.21888607143,86.1248777214286,4918.25497351612,1,0,0
4852,175.247457500001,86.14544915,4919.26883766238,1,0,0
4853,176.272909957628,86.1659581991526,4920.28270180864,1,0,0
4854,177.289859110171,86.1862971822034,4921.2965659549,1,0,0
4855,178.273118503773,86.2065693000839,4922.31043010116,1,0,0
4856,179.178399308467,86.2266866512993,4923.32429424743,1,0,0
4857,180.049856312293,86.2467464078073,4924.33815839369,1,0,0
4858,180.847198504985,86.2666799626246,4925.35202253995,1,0,0
4859,181.642393249178,86.2865598312295,4926.36588668621,1,0,0
4860,182.432733534578,86.3063183383645,4927.37975083247,1,0,0
4861,183.221131936889,86.3260282984222,4928.39361497873,1,0,0
4862,184.004592219805,86.3456148054951,4929.407479125,1,0,0
4863,184.786429611652,86.3651607402913,4930.42134327126,1,0,0
4864,185.563128640778,86.3845782160195,4931.43520741752,1,0,0
4865,186.338631283424,86.4039657820856,4932.44907156378,1,0,0
4866,187.10868475936,86.423217118984,4933.46293571004,1,0,0
4867,187.878070254508,86.4424517563627,4934.47679985631,1,0,0
4868,188.641590933193,86.4615397733298,4935.49066400257,1,0,0
4869,189.405068611989,86.4806267152997,4936.50452814883,1,0,0
4870,190.162166403787,86.4995541600947,4937.51839229509,1,0,0
4871,190.919264195585,86.5184816048896,4938.53225644135,1,0,0
4872,191.503564913884,86.5372854971295,4939.54612058761,1,0,0
4873,192.067239235387,86.5560746411796,4940.55998473388,1,0,0
4874,192.628231522304,86.5747743840768,4941.57384888014,1,0,0
4875,193.188397497408,86.5934465832469,4942.5877130264,1,0,0
4876,193.746407409795,86.6120469136598,4943.60157717266,1,0,0
4877,194.303108440723,86.6306036146908,4944.61544131892,1,0,0
4878,194.858212282275,86.6491070760759,4945.62930546519,1,0,0
4879,195.4114909708,86.6675496990267,4946.64316961145,1,0,0
4880,195.963762920062,86.6859587640021,4947.65703375771,1,0,0
4881,196.513661087068,86.7042887029023,4948.67089790397,1,0,0
4882,197.063173266701,86.7226057755567,4949.68476205023,1,0,0
4883,197.609731971154,86.7408243990385,4950.69862619649,1,0,0
4884,198.156290675608,86.7590430225203,4951.71249034276,1,0,0
4885,198.699814071932,86.7771604690644,4952.72635448902,1,0,0
4886,199.243073629276,86.7952691209759,4953.74021863528,1,0,0
4887,199.847905742315,86.8132973069233,4954.75408278154,1,0,0
4888,200.47774828168,86.831292808048,4955.7679469278,1,0,0
4889,201.148829613096,86.8492207403274,4956.78181107407,1,0,0
4890,201.863115327382,86.8670778831845,4957.79567522033,1,0,0
4891,202.576004183072,86.8849001045768,4958.80953936659,1,0,0
4892,203.284665600395,86.9026166400099,4959.82340351285,1,0,0
4893,203.993327017718,86.9203331754429,4960.83726765911,1,0,0
